slug,words,quick_facts,faq_items,decision,reason,junk,split_into,preexisting_noindex,has_auto_noindex
andy-stanley,198,0,0,noindex,198w < 200; no quick facts; no faq,False,,False,False
kevin-vanhoozer,197,0,0,noindex,197w < 200; no quick facts; no faq,False,,False,False
lou-priolo,197,0,0,noindex,197w < 200; no quick facts; no faq,False,,False,False
michael-kelley,197,0,0,noindex,197w < 200; no quick facts; no faq,False,,False,False
courtney-doctor,195,3,2,noindex,195w < 200,False,,False,False
bill-hybels,194,0,0,noindex,194w < 200; no quick facts; no faq,False,,False,False
ken-sande,194,0,0,noindex,194w < 200; no quick facts; no faq,False,,False,False
darrell-cole,193,0,0,noindex,193w < 200; no quick facts; no faq,False,,False,False
everett-worthington,193,0,0,noindex,193w < 200; no quick facts; no faq,False,,False,False
ligon-duncan,193,0,0,noindex,193w < 200; no quick facts; no faq,False,,False,False
michael-j-kruger,193,3,2,noindex,193w < 200,False,,False,False
r-t-kendall,193,0,0,noindex,193w < 200; no quick facts; no faq,False,,False,False
rick-warren,193,0,0,noindex,193w < 200; no quick facts; no faq,False,,False,False
douglas-farrow,192,0,0,noindex,192w < 200; no quick facts; no faq,False,,False,False
emily-brown,192,0,0,noindex,192w < 200; no quick facts; no faq,False,,False,False
jay-stringer,192,0,0,noindex,192w < 200; no quick facts; no faq,False,,False,False
dallas-willard,190,0,0,noindex,190w < 200; no quick facts; no faq,False,,False,False
david-vandrunen,190,0,0,noindex,190w < 200; no quick facts; no faq,False,,False,False
thabiti-anyabwile,190,0,0,noindex,190w < 200; no quick facts; no faq,False,,False,False
voddie-baucham,190,0,0,noindex,190w < 200; no quick facts; no faq,False,,False,False
john-frame,189,0,0,noindex,189w < 200; no quick facts; no faq,False,,False,False
matthew-stanford,189,0,0,noindex,189w < 200; no quick facts; no faq,False,,False,False
stanley-hauerwas,189,0,0,noindex,189w < 200; no quick facts; no faq,False,,False,False
sam-allberry,188,0,0,noindex,188w < 200; no quick facts; no faq,False,,False,False
j-i-packer,187,0,0,noindex,187w < 200; no quick facts; no faq,False,,False,False
heath-lambert,185,0,0,noindex,185w < 200; no quick facts; no faq,False,,False,False
michael-brown,185,0,0,noindex,185w < 200; no quick facts; no faq,False,,False,False
denny-burk,184,0,0,noindex,184w < 200; no quick facts; no faq,False,,False,False
rebecca-mclaughlin,184,0,0,noindex,184w < 200; no quick facts; no faq,False,,False,False
trillia-newbell,184,0,0,noindex,184w < 200; no quick facts; no faq,False,,False,False
derek-rishmawy,183,0,0,noindex,183w < 200; no quick facts; no faq,False,,False,False
miroslav-volf,183,0,0,noindex,183w < 200; no quick facts; no faq,False,,False,False
r-scott-clark,183,0,0,noindex,183w < 200; no quick facts; no faq,False,,False,False
russell-moore,183,0,0,noindex,183w < 200; no quick facts; no faq,False,,False,False
curt-thompson,182,0,0,noindex,182w < 200; no quick facts; no faq,False,,False,False
mark-mcminn,182,0,0,noindex,182w < 200; no quick facts; no faq,False,,False,False
aaron-garriott,181,3,2,noindex,181w < 200,False,,False,False
sam-storms,181,0,0,noindex,181w < 200; no quick facts; no faq,False,,False,False
brian-croft,180,0,0,noindex,180w < 200; no quick facts; no faq,False,,False,False
john-stott,179,0,0,noindex,179w < 200; no quick facts; no faq,False,,False,False
mark-dever,179,0,0,noindex,179w < 200; no quick facts; no faq,False,,False,False
reggie-joiner,178,0,0,noindex,178w < 200; no quick facts; no faq,False,,False,False
john-baker,177,0,0,noindex,177w < 200; no quick facts; no faq,False,,False,False
kim-riddlebarger,177,0,0,noindex,177w < 200; no quick facts; no faq,False,,False,False
michael-mock,177,0,0,noindex,177w < 200; no quick facts; no faq,False,,False,False
rob-plummer,177,0,0,noindex,177w < 200; no quick facts; no faq,False,,False,False
francis-chan,176,0,0,noindex,176w < 200; no quick facts; no faq,False,,False,False
r-kent-hughes,176,0,0,noindex,176w < 200; no quick facts; no faq,False,,False,False
tish-harrison-warren,176,0,0,noindex,176w < 200; no quick facts; no faq,False,,False,False
david-mathis,175,0,0,noindex,175w < 200; no quick facts; no faq,False,,False,False
kent-dunnington,174,0,0,noindex,174w < 200; no quick facts; no faq,False,,False,False
mark-shaw,174,0,0,noindex,174w < 200; no quick facts; no faq,False,,False,False
christopher-yuan,173,0,0,noindex,173w < 200; no quick facts; no faq,False,,False,False
ji-packer,172,3,2,noindex,172w < 200,False,,False,False
keegan-martin,172,0,0,noindex,172w < 200; no quick facts; no faq,False,,False,False
matt-smethurst,172,0,0,noindex,172w < 200; no quick facts; no faq,False,,False,False
walter-strickland,172,0,0,noindex,172w < 200; no quick facts; no faq,False,,False,False
christy-smith,171,0,0,noindex,171w < 200; no quick facts; no faq,False,,False,False
john-owen,171,0,0,noindex,171w < 200; no quick facts; no faq,False,,False,False
matthew-vines,171,0,0,noindex,171w < 200; no quick facts; no faq,False,,False,False
megan-hill,171,0,0,noindex,171w < 200; no quick facts; no faq,False,,False,False
nancy-guthrie,171,0,0,noindex,171w < 200; no quick facts; no faq,False,,False,False
danson-ottawa,170,3,2,noindex,170w < 200,False,,False,False
jonathan-dodson,170,0,0,noindex,170w < 200; no quick facts; no faq,False,,False,False
taylor-berry,169,0,0,noindex,169w < 200; no quick facts; no faq,False,,False,False
andrew-kern,167,0,0,noindex,167w < 200; no quick facts; no faq,False,,False,False
aaron-m-renn,166,0,0,noindex,166w < 200; no quick facts; no faq,False,,False,False
tony-arsenal,166,0,0,noindex,166w < 200; no quick facts; no faq,False,,False,False
george-grant,165,0,0,noindex,165w < 200; no quick facts; no faq,False,,False,False
haleluya-hadero,165,0,0,noindex,165w < 200; no quick facts; no faq,False,,False,False
jared-kennedy,165,0,0,noindex,165w < 200; no quick facts; no faq,False,,False,False
nadya-williams,165,0,0,noindex,165w < 200; no quick facts; no faq,False,,False,False
gavin-ortlund,164,3,2,noindex,164w < 200,False,,False,False
kevin-palau,164,0,0,noindex,164w < 200; no quick facts; no faq,False,,False,False
rachel-gilson,164,0,0,noindex,164w < 200; no quick facts; no faq,False,,False,False
scott-hubbard,164,0,0,noindex,164w < 200; no quick facts; no faq,False,,False,False
bonnie-kristian,163,0,0,noindex,163w < 200; no quick facts; no faq,False,,False,False
daniel-r-hyde,163,0,0,noindex,163w < 200; no quick facts; no faq,False,,False,False
joe-carter,162,0,0,noindex,162w < 200; no quick facts; no faq,False,,False,False
jeri-choi,161,3,2,noindex,161w < 200,False,,False,False
kara-bettis-carvalho,161,0,0,noindex,161w < 200; no quick facts; no faq,False,,False,False
max-lucado,161,3,2,noindex,161w < 200,False,,False,False
relevant,161,3,2,noindex,161w < 200,False,,False,False
jackie-hill-perry,159,3,2,noindex,159w < 200,False,,False,False
julie-smyth,159,3,2,noindex,159w < 200,False,,False,False
kate-lucky,159,3,2,noindex,159w < 200,False,,False,False
john-ortberg,158,0,0,noindex,158w < 200; no quick facts; no faq,False,,False,False
clinton-manley,157,3,2,noindex,157w < 200,False,,False,False
elise-brandon,157,3,2,noindex,157w < 200,False,,False,False
guy-prentiss-waters,156,0,0,noindex,156w < 200; no quick facts; no faq,False,,False,False
jack-deere,156,0,0,noindex,156w < 200; no quick facts; no faq,False,,False,False
john-v-fesko,156,3,2,noindex,156w < 200,False,,False,False
richard-baxter,156,3,2,noindex,156w < 200,False,,False,False
vaneetha-rendall-risner,156,0,0,noindex,156w < 200; no quick facts; no faq,False,,False,False
jared-moore,154,3,2,noindex,154w < 200,False,,False,False
scott-aniol,154,3,2,noindex,154w < 200,False,,False,False
andrew-walker,153,0,0,noindex,153w < 200; no quick facts; no faq,False,,False,False
kelly-m-kapic,153,0,0,noindex,153w < 200; no quick facts; no faq,False,,False,False
mark-vroegop,153,0,0,noindex,153w < 200; no quick facts; no faq,False,,False,False
richard-blackaby,153,0,0,noindex,153w < 200; no quick facts; no faq,False,,False,False
sarah-eekhoff-zylstra,153,0,0,noindex,153w < 200; no quick facts; no faq,False,,False,False
andreas-kostenberger,152,0,0,noindex,152w < 200; no quick facts; no faq,False,,False,False
arla-eicher,152,0,0,noindex,152w < 200; no quick facts; no faq,False,,False,False
don-whitney,151,0,0,noindex,151w < 200; no quick facts; no faq,False,,False,False
greg-morse,151,0,0,noindex,151w < 200; no quick facts; no faq,False,,False,False
michael-hidalgo,151,0,0,noindex,151w < 200; no quick facts; no faq,False,,False,False
wyatt-graham,151,3,2,noindex,151w < 200,False,,False,False
kendall-lankford,150,3,2,noindex,150w < 200,False,,False,False
stephen-kneale,150,0,0,noindex,150w < 200; no quick facts; no faq,False,,False,False
william-conley,150,0,0,noindex,150w < 200; no quick facts; no faq,False,,False,False
chris-watkin,149,0,0,noindex,149w < 200; no quick facts; no faq,False,,False,False
daniel-darling,149,0,0,noindex,149w < 200; no quick facts; no faq,False,,False,False
jacob-crouch,149,3,2,noindex,149w < 200,False,,False,False
jim-newheiser,149,0,0,noindex,149w < 200; no quick facts; no faq,False,,False,False
ashley-hales,148,0,0,noindex,148w < 200; no quick facts; no faq,False,,False,False
campbell-markham,148,0,0,noindex,148w < 200; no quick facts; no faq,False,,False,False
j-d-greear,148,0,0,noindex,148w < 200; no quick facts; no faq,False,,False,False
scott-klusendorf,148,0,0,noindex,148w < 200; no quick facts; no faq,False,,False,False
david-huffstutler,147,3,2,noindex,147w < 200,False,,False,False
elizabeth-russell,147,0,0,noindex,147w < 200; no quick facts; no faq,False,,False,False
wendy-alsup,147,0,0,noindex,147w < 200; no quick facts; no faq,False,,False,False
jen-oshman,146,0,0,noindex,146w < 200; no quick facts; no faq,False,,False,False
samuel-d-james,146,0,0,noindex,146w < 200; no quick facts; no faq,False,,False,False
travis-kircher,146,3,2,noindex,146w < 200,False,,False,False
angela-fulton,145,0,0,noindex,145w < 200; no quick facts; no faq,False,,False,False
haley-byrd-wilt,145,0,0,noindex,145w < 200; no quick facts; no faq,False,,False,False
mark-jones,145,0,0,noindex,145w < 200; no quick facts; no faq,False,,False,False
iain-duguid,144,0,0,noindex,144w < 200; no quick facts; no faq,False,,False,False
john-taylor,144,0,0,noindex,144w < 200; no quick facts; no faq,False,,False,False
laura-story,144,3,2,noindex,144w < 200,False,,False,False
scott-rae,144,0,0,noindex,144w < 200; no quick facts; no faq,False,,False,False
chris-allen,143,3,2,noindex,143w < 200,False,,False,False
cody-benjamin,143,0,0,noindex,143w < 200; no quick facts; no faq,False,,False,False
dv-rider,143,0,0,noindex,143w < 200; no quick facts; no faq,False,,False,False
jake-meador,143,0,0,noindex,143w < 200; no quick facts; no faq,False,,False,False
jillian-parks,143,0,0,noindex,143w < 200; no quick facts; no faq,False,,False,False
walt-mueller,143,0,0,noindex,143w < 200; no quick facts; no faq,False,,False,False
christina-grube,142,3,2,noindex,142w < 200,False,,False,False
jonathan-edwards,142,3,2,noindex,142w < 200,False,,False,False
kathleen-nielson,142,0,0,noindex,142w < 200; no quick facts; no faq,False,,False,False
gene-edward-veith,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
guy-waters,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
jonathan-malm,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
keith-mathison,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
michael-keller,141,3,2,noindex,141w < 200,False,,False,False
peter-rosenberger,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
stephen-witmer,141,0,0,noindex,141w < 200; no quick facts; no faq,False,,False,False
andrew-spencer,140,0,0,noindex,140w < 200; no quick facts; no faq,False,,False,False
costi-hinn,140,3,2,noindex,140w < 200,False,,False,False
noah-senthil,140,0,0,noindex,140w < 200; no quick facts; no faq,False,,False,False
annie-eisner,139,0,0,noindex,139w < 200; no quick facts; no faq,False,,False,False
john-stonestreet-and-thaddeus-williams,139,3,2,noindex,139w < 200,False,,False,False
zachary-conover,139,3,2,noindex,139w < 200,False,,False,False
cory-brock,138,0,0,noindex,138w < 200; no quick facts; no faq,False,,False,False
joel-c-rosenberg,138,0,0,noindex,138w < 200; no quick facts; no faq,False,,False,False
mia-staub,138,3,2,noindex,138w < 200,False,,False,False
paul-helm,138,0,0,noindex,138w < 200; no quick facts; no faq,False,,False,False
pete-hurst,138,3,2,noindex,138w < 200,False,,False,False
rob-ventura,138,0,0,noindex,138w < 200; no quick facts; no faq,False,,False,False
fm-ai,137,0,0,noindex,junk byline slug,True,,False,False
kathy-keller,137,0,0,noindex,137w < 200; no quick facts; no faq,False,,False,False
tedd-tripp,137,0,0,noindex,137w < 200; no quick facts; no faq,False,,False,False
walter-brueggemann,137,0,0,noindex,137w < 200; no quick facts; no faq,False,,False,False
benjamin-l-gladd,136,0,0,noindex,136w < 200; no quick facts; no faq,False,,False,False
betsy-childs-howard,136,0,0,noindex,136w < 200; no quick facts; no faq,False,,False,False
daniel-hyde,136,3,2,noindex,136w < 200,False,,False,False
graham-tomlin,136,3,2,noindex,136w < 200,False,,False,False
stephen-driscoll,136,3,2,noindex,136w < 200,False,,False,False
jonathan-wilson-hartgrove,135,0,0,noindex,135w < 200; no quick facts; no faq,False,,False,False
kristen-wetherell,135,3,2,noindex,135w < 200,False,,False,False
paul-ritchie,135,3,2,noindex,135w < 200,False,,False,False
robert-vandoodewaard,135,0,0,noindex,135w < 200; no quick facts; no faq,False,,False,False
tom-sugimura,135,3,2,noindex,135w < 200,False,,False,False
allen-c-guelzo,134,0,0,noindex,134w < 200; no quick facts; no faq,False,,False,False
john-stonestreet-and-s-michael-craven,134,3,2,noindex,134w < 200,False,john-stonestreet|s-michael-craven,False,False
michael-porter,134,0,0,noindex,134w < 200; no quick facts; no faq,False,,False,False
sara-hagerty,134,0,0,noindex,134w < 200; no quick facts; no faq,False,,False,False
caleb-davis,133,3,2,noindex,133w < 200,False,,False,False
jim-elliff,133,0,0,noindex,133w < 200; no quick facts; no faq,False,,False,False
kevin-schaal,133,3,2,noindex,133w < 200,False,,False,False
pj-dunn,133,3,2,noindex,133w < 200,False,,False,False
bobby-jamieson,132,0,0,noindex,132w < 200; no quick facts; no faq,False,,False,False
german-saucedo,132,0,0,noindex,132w < 200; no quick facts; no faq,False,,False,False
j-alasdair-groves,132,3,2,noindex,132w < 200,False,,False,False
james-spiegel,132,3,2,noindex,132w < 200,False,,False,False
tony-reinke,132,0,0,noindex,132w < 200; no quick facts; no faq,False,,False,False
clarissa-moll,131,0,0,noindex,131w < 200; no quick facts; no faq,False,,False,False
daniel-stevens,131,3,2,noindex,131w < 200,False,,False,False
gabriel-ne-fluhrer,131,3,2,noindex,131w < 200,False,,False,False
joshua-budimlic,131,3,2,noindex,131w < 200,False,,False,False
kevin-j-vanhoozer,131,3,2,noindex,131w < 200,False,,False,False
o-alan-noble,131,0,0,skip,hand-placed robots tag already on page,False,,True,False
w-robert-godfrey,131,0,0,noindex,131w < 200; no quick facts; no faq,False,,False,False
brandon-d-crowe,130,0,0,noindex,130w < 200; no quick facts; no faq,False,,False,False
brian-rosner,130,0,0,noindex,130w < 200; no quick facts; no faq,False,,False,False
kyle-worley,130,0,0,noindex,130w < 200; no quick facts; no faq,False,,False,False
michael-frost,130,0,0,noindex,130w < 200; no quick facts; no faq,False,,False,False
michael-g-brown,130,3,2,noindex,130w < 200,False,,False,False
ryan-currie,130,3,2,noindex,130w < 200,False,,False,False
sharon-james,130,3,2,noindex,130w < 200,False,,False,False
bill-elliff,129,0,0,noindex,129w < 200; no quick facts; no faq,False,,False,False
leland-ryken,129,0,0,noindex,129w < 200; no quick facts; no faq,False,,False,False
jon-coombs,128,3,2,noindex,128w < 200,False,,False,False
william-barcley,128,3,2,noindex,128w < 200,False,,False,False
allen-d-hertzke,127,0,0,noindex,127w < 200; no quick facts; no faq,False,,False,False
davy-ellison,127,3,2,noindex,127w < 200,False,,False,False
paul-howard,127,3,2,noindex,127w < 200,False,,False,False
peter-mead,127,0,0,noindex,127w < 200; no quick facts; no faq,False,,False,False
scott-james,127,0,0,noindex,127w < 200; no quick facts; no faq,False,,False,False
cliff-mcmanis,126,0,0,noindex,126w < 200; no quick facts; no faq,False,,False,False
erik-raymond,126,3,2,noindex,126w < 200,False,,False,False
harvest-prude,126,3,2,noindex,126w < 200,False,,False,False
kristin-kobes-du-mez,126,0,0,noindex,126w < 200; no quick facts; no faq,False,,False,False
malcolm-guite,126,0,0,noindex,126w < 200; no quick facts; no faq,False,,False,False
rachel-culver,126,3,2,noindex,126w < 200,False,,False,False
scott-yenor,126,0,0,noindex,126w < 200; no quick facts; no faq,False,,False,False
brian-tabb,125,0,0,noindex,125w < 200; no quick facts; no faq,False,,False,False
dan-perkins,125,0,0,noindex,125w < 200; no quick facts; no faq,False,,False,False
gillis-harp,125,0,0,noindex,125w < 200; no quick facts; no faq,False,,False,False
mike-sabo,125,0,0,noindex,125w < 200; no quick facts; no faq,False,,False,False
alex-diprima,124,3,2,noindex,124w < 200,False,,False,False
brian-smith,124,3,2,noindex,124w < 200,False,,False,False
cameron-shaffer,124,0,0,noindex,124w < 200; no quick facts; no faq,False,,False,False
gerrit-scott-dawson,124,3,2,noindex,124w < 200,False,,False,False
john-samson,124,3,2,noindex,124w < 200,False,,False,False
katie-deckert,124,3,2,noindex,124w < 200,False,,False,False
andrew-davis,123,0,0,noindex,123w < 200; no quick facts; no faq,False,,False,False
emily-jensen,123,0,0,noindex,123w < 200; no quick facts; no faq,False,,False,False
john-beeson,123,3,2,noindex,123w < 200,False,,False,False
r-albert-mohler-jr,123,0,0,noindex,123w < 200; no quick facts; no faq,False,,False,False
rich-bitterman,123,3,2,noindex,123w < 200,False,,False,False
sarah-ivill,123,3,2,noindex,123w < 200,False,,False,False
wesley-hill,123,0,0,noindex,123w < 200; no quick facts; no faq,False,,False,False
jon-nielson,122,3,2,noindex,122w < 200,False,,False,False
reuben-hunter,122,0,0,noindex,122w < 200; no quick facts; no faq,False,,False,False
sadie-robertson,122,0,0,noindex,122w < 200; no quick facts; no faq,False,,False,False
brandon-crowe,121,0,0,noindex,121w < 200; no quick facts; no faq,False,,False,False
grant-dutro,121,3,2,noindex,121w < 200,False,,False,False
joshua-chatraw,121,0,0,noindex,121w < 200; no quick facts; no faq,False,,False,False
robin-parry,121,0,0,noindex,121w < 200; no quick facts; no faq,False,,False,False
virgil-walker,121,3,2,noindex,121w < 200,False,,False,False
beautiful-christian-life-staff,120,0,0,noindex,120w < 200; no quick facts; no faq,False,,False,False
dean-inserra,120,3,2,noindex,120w < 200,False,,False,False
jeffrey-bilbro,120,3,2,noindex,120w < 200,False,,False,False
scott-hurst,120,0,0,noindex,120w < 200; no quick facts; no faq,False,,False,False
hannah-miller-king,119,0,0,noindex,119w < 200; no quick facts; no faq,False,,False,False
joshua-heavin,119,3,2,noindex,119w < 200,False,,False,False
roland-barnes,119,3,2,noindex,119w < 200,False,,False,False
simon-van-bruchem,119,0,0,noindex,119w < 200; no quick facts; no faq,False,,False,False
thaddeus-williams,119,0,0,noindex,119w < 200; no quick facts; no faq,False,,False,False
andy-olsen,118,3,2,noindex,118w < 200,False,,False,False
courtney-reissig,118,0,0,noindex,118w < 200; no quick facts; no faq,False,,False,False
tom-ascol,118,0,0,noindex,118w < 200; no quick facts; no faq,False,,False,False
brad-klassen,117,3,2,noindex,117w < 200,False,,False,False
daniel-stegeman,117,3,2,noindex,117w < 200,False,,False,False
glen-scrivener,117,0,0,noindex,117w < 200; no quick facts; no faq,False,,False,False
john-d-wilsey,117,0,0,noindex,117w < 200; no quick facts; no faq,False,,False,False
michael-jensen,117,0,0,noindex,117w < 200; no quick facts; no faq,False,,False,False
peter-j-gentry,117,0,0,noindex,117w < 200; no quick facts; no faq,False,,False,False
reagan-rose,117,3,2,noindex,117w < 200,False,,False,False
robert-ventura,117,3,2,noindex,117w < 200,False,,False,False
adele-calhoun,116,0,0,noindex,116w < 200; no quick facts; no faq,False,,False,False
laura-wifler,116,0,0,noindex,116w < 200; no quick facts; no faq,False,,False,False
sam-emadi,116,3,2,noindex,116w < 200,False,,False,False
stephen-unthank,116,3,2,noindex,116w < 200,False,,False,False
e-j-hutchinson,115,0,0,noindex,115w < 200; no quick facts; no faq,False,,False,False
ken-shigematsu,115,0,0,noindex,115w < 200; no quick facts; no faq,False,,False,False
luke-mansfield,115,3,2,noindex,115w < 200,False,,False,False
mika-edmondson,115,0,0,noindex,115w < 200; no quick facts; no faq,False,,False,False
simonetta-carr,115,3,2,noindex,115w < 200,False,,False,False
stephen-wolfe,115,0,0,noindex,115w < 200; no quick facts; no faq,False,,False,False
brianna-lambert,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
dan-olinger,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
derwin-gray,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
ellen-hayes,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
james-white,114,3,2,noindex,114w < 200,False,,False,False
joseph-sherrard,114,3,2,noindex,114w < 200,False,,False,False
kevin-bauder,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
kyle-tucker,114,3,2,noindex,114w < 200,False,,False,False
nicola-a-menzie,114,0,0,noindex,114w < 200; no quick facts; no faq,False,,False,False
christopher-cook,113,0,0,noindex,113w < 200; no quick facts; no faq,False,,False,False
christopher-gehrz,113,0,0,noindex,113w < 200; no quick facts; no faq,False,,False,False
everyday-theology-staff,113,0,0,noindex,113w < 200; no quick facts; no faq,False,,False,False
